dataset,method,seed,head,m,documents,kernel_nmse,output_nmse,negative_kernel_fraction,nonpositive_denominator_fraction,invalid_output_rows,row_l1,denominator_nmse,near_cancellation_fraction
internal,favor_plus,1009,"[14, 0]",64,256,0.9999711074605887,1.4935203654586122,0.0,0.0,0,0.33812555820554074,0.9999777616321333,0.0
internal,favor_plus,1009,"[14, 6]",64,256,1.0010796325652793,0.9990689547424988,0.0,0.0,0,0.7385068709942226,1.0002955061744885,0.0
internal,favor_plus,1009,"[27, 0]",64,256,1.0000078897732578,0.7288417554274365,0.0,0.0,0,1.5434042155783008,0.9999922598927835,0.0
internal,favor_plus,1009,"[27, 6]",64,256,1.0000648959726492,3.3180392924926867,0.0,0.0,0,1.6272828242492359,0.9999443854622149,0.0
internal,favor_plus,1046,"[14, 0]",64,256,0.9999911193897387,1.9437406865396827,0.0,0.0,0,0.46971062706470285,0.9999950223948487,0.0
internal,favor_plus,1046,"[14, 6]",64,256,336.06518717746684,1.5433110992005792,0.0,0.0,0,0.9118781208976032,173.2216750643123,0.0
internal,favor_plus,1046,"[27, 0]",64,256,1.0018257584838248,0.8835209589600636,0.0,0.0,0,1.5154133578110698,1.0026096613222095,0.0
internal,favor_plus,1046,"[27, 6]",64,256,1.0000002025312267,4.9695423081995775,0.0,0.0,0,1.6834212691636408,0.9999986276724738,0.0
internal,favor_plus,1083,"[14, 0]",64,256,0.9999984770085791,2.3333862833742365,0.0,0.0,0,0.5803855667523532,0.999998605743335,0.0
internal,favor_plus,1083,"[14, 6]",64,256,1.0029657057546497,1.0603742974400896,0.0,0.0,0,0.7208675114978584,1.0008083689807536,0.0
internal,favor_plus,1083,"[27, 0]",64,256,1.0002519462363444,0.6515520026960698,0.0,0.0,0,1.5792131271168344,0.9999975363329469,0.0
internal,favor_plus,1083,"[27, 6]",64,256,0.99999981264037,3.150794736699516,0.0,0.0,0,1.6376796276908827,0.9999994127548847,0.0
internal,favor_plus,1120,"[14, 0]",64,256,0.999971638794175,1.436800564678991,0.0,0.0,0,0.3591611033776157,0.9999769095501913,0.0
internal,favor_plus,1120,"[14, 6]",64,256,1.2554190243122763,1.3128638642343406,0.0,0.0,0,0.8785585840996203,1.230798206778921,0.0
internal,favor_plus,1120,"[27, 0]",64,256,1.000000473909422,1.2111941582464567,0.0,0.0,0,1.518265119755246,0.9999834223623494,0.0
internal,favor_plus,1120,"[27, 6]",64,256,1.0012963866997393,3.183079198217528,0.0,0.0,0,1.5895811556856705,1.000018075279662,0.0
internal,favor_plus,1157,"[14, 0]",64,256,0.9999978984238983,1.479455774304531,0.0,0.0,0,0.40884257161235243,0.9999984836415344,0.0
internal,favor_plus,1157,"[14, 6]",64,256,1.0009512578421178,0.9054465117594874,0.0,0.0,0,0.6483050443941358,1.000191906549254,0.0
internal,favor_plus,1157,"[27, 0]",64,256,1.0003185276329096,1.7091571182994238,0.0,0.0,0,1.6660331710539373,1.0000050634210964,0.0
internal,favor_plus,1157,"[27, 6]",64,256,0.9999998868185748,2.4647254919517705,0.0,0.0,0,1.5804461102482494,0.9999978676258003,0.0
internal,centered_favor_plus,1009,"[14, 0]",64,256,9.219351564981848,1.3735873127493374,0.0,0.0,0,0.33175124360910224,7.074910035039037,0.0
internal,centered_favor_plus,1009,"[14, 6]",64,256,1.13974823711416,2.0940734556484255,0.0,0.0,0,1.2291551035684258,1.0673223260848148,0.0
internal,centered_favor_plus,1009,"[27, 0]",64,256,144.55666568754674,0.4608375004596705,0.0,0.0,0,1.2055963196873667,216.69283638359647,0.0
internal,centered_favor_plus,1009,"[27, 6]",64,256,6.991462254032429,1.0893651111907319,0.0,0.0,0,1.306937573056256,4.887616192919182,0.0
internal,centered_favor_plus,1046,"[14, 0]",64,256,1.1241837867476243,1.4997801904305126,0.0,0.0,0,0.3888526909779526,1.072217225079263,0.0
internal,centered_favor_plus,1046,"[14, 6]",64,256,1.0636414893396973,1.871710613587616,0.0,0.0,0,1.136999813768283,1.0257564850472751,0.0
internal,centered_favor_plus,1046,"[27, 0]",64,256,53.22852439552536,0.6210854469342638,0.0,0.0,0,1.3012328671665214,60.69721048211542,0.0
internal,centered_favor_plus,1046,"[27, 6]",64,256,580.5305184952059,1.1278751703795857,0.0,0.0,0,1.3154520482816647,220.18908026886825,0.0
internal,centered_favor_plus,1083,"[14, 0]",64,256,1.0048553739491373,1.7440199680525383,0.0,0.0,0,0.46926973420472673,1.0029676110012722,0.0
internal,centered_favor_plus,1083,"[14, 6]",64,256,13.811615075777024,1.4384587628270356,0.0,0.0,0,0.9527569904465912,5.563944071152931,0.0
internal,centered_favor_plus,1083,"[27, 0]",64,256,2.2159966824608985,0.47595922869251084,0.0,0.0,0,1.2131224587214038,2.262815073525824,0.0
internal,centered_favor_plus,1083,"[27, 6]",64,256,2.23457190102806,0.8591988968219492,0.0,0.0,0,1.2985974229937218,1.2570817422608191,0.0
internal,centered_favor_plus,1120,"[14, 0]",64,256,44.16171096192133,1.5208656366036937,0.0,0.0,0,0.36201219039876736,26.62009879790266,0.0
internal,centered_favor_plus,1120,"[14, 6]",64,256,4351.987805432515,2.0345179289713116,0.0,0.0,0,1.1749364544037737,1322.2162461996868,0.0
internal,centered_favor_plus,1120,"[27, 0]",64,256,111.8266190381143,0.8146303604222289,0.0,0.0,0,1.2681735563826444,20.068598553436875,0.0
internal,centered_favor_plus,1120,"[27, 6]",64,256,104.17915187427828,1.2434535360614651,0.0,0.0,0,1.2939364318110977,186.3888442976636,0.0
internal,centered_favor_plus,1157,"[14, 0]",64,256,1.0153904499527795,1.510247501960502,0.0,0.0,0,0.3780591457899975,1.006530834301271,0.0
internal,centered_favor_plus,1157,"[14, 6]",64,256,1.6387431738684641,2.1169891885989145,0.0,0.0,0,1.2367384653626359,1.5017246366628965,0.0
internal,centered_favor_plus,1157,"[27, 0]",64,256,5.172650146847398,0.5898721989326063,0.0,0.0,0,1.270455606327233,3.702776032705895,0.0
internal,centered_favor_plus,1157,"[27, 6]",64,256,15.75293957016076,1.1928805427344729,0.0,0.0,0,1.2919383227026646,4.221868836079647,0.0
internal,sderf,1009,"[14, 0]",64,256,94.70821510628939,2.091519449173508,0.0,0.0,0,0.47723903612976826,57.554633533316775,0.0
internal,sderf,1009,"[14, 6]",64,256,4.031393499145641,4.285514091709541,0.0,0.0,0,1.7502648128720344,2.430476283508595,0.0
internal,sderf,1009,"[27, 0]",64,256,104.30234367828722,0.6668375124012687,0.0,0.0,0,1.386678298826593,70.58059319651757,0.0
internal,sderf,1009,"[27, 6]",64,256,24.128971833617133,1.6331128858371577,0.0,0.0,0,1.5093750424088066,7.622872537321115,0.0
internal,sderf,1046,"[14, 0]",64,256,1.0400235876688626,4.980544884576454,0.0,0.0,0,0.9733142732448874,1.0353929622409848,0.0
internal,sderf,1046,"[14, 6]",64,256,5.326696471051544,2.2984645446790575,0.0,0.0,0,1.1683428945548773,2.388218981880242,0.0
internal,sderf,1046,"[27, 0]",64,256,10.317059698395084,0.5775184714020444,0.0,0.0,0,1.4271281709752643,7.463288158810876,0.0
internal,sderf,1046,"[27, 6]",64,256,18.123340697733337,2.907229850458047,0.0,0.0,0,1.5663081527118181,2.9151370050197802,0.0
internal,sderf,1083,"[14, 0]",64,256,369885.85710617766,4.446726805348825,0.0,0.0,0,0.8798388576117842,217207.824752504,0.0
internal,sderf,1083,"[14, 6]",64,256,1.1464578131435423,3.390026475610988,0.0,0.0,0,1.5674661139430834,1.0650583999058112,0.0
internal,sderf,1083,"[27, 0]",64,256,114.82327579844394,0.7230884309352114,0.0,0.0,0,1.4419368158581756,62.56746839273286,0.0
internal,sderf,1083,"[27, 6]",64,256,1.8812619281674885,1.75069241283342,0.0,0.0,0,1.5087790025299437,1.2340603305184534,0.0
internal,sderf,1120,"[14, 0]",64,256,399.1262639659918,7.7460142623586945,0.0,0.0,0,1.4383364771509302,238.71481982944846,0.0
internal,sderf,1120,"[14, 6]",64,256,23.07953414878804,2.724063100887358,0.0,0.0,0,1.3747204196731448,20.21094260939267,0.0
internal,sderf,1120,"[27, 0]",64,256,4.5598364766083535,0.8447380144259852,0.0,0.0,0,1.4642978406658564,2.178589652936563,0.0
