dataset,head,method,m,realizations,mean,median,minimum,maximum,std
official,"[27, 6]",aderf,32,5,1.3932866302528248,1.3441023935324992,1.0000243271209734,1.9528303683879735,0.4185859068592326
official,"[27, 6]",aderf,64,5,15.430536117888089,1.1672245732228013,1.0029322500245117,72.72587037337514,32.02922032913473
official,"[27, 6]",aderf,128,5,1093.243492829219,1.059670669311307,1.019004272102567,5444.161154141387,2432.2492393335438
official,"[27, 6]",aderf,640,1,217.97414464877977,217.97414464877977,217.97414464877977,217.97414464877977,
official,"[27, 6]",partition,16,1,0.6238019593806793,0.6238019593806793,0.6238019593806793,0.6238019593806793,
official,"[27, 6]",partition,32,1,0.6089825903916772,0.6089825903916772,0.6089825903916772,0.6089825903916772,
official,"[27, 6]",partition,64,1,0.5987353164804895,0.5987353164804895,0.5987353164804895,0.5987353164804895,
official,"[27, 6]",partition,128,1,0.5958018817222166,0.5958018817222166,0.5958018817222166,0.5958018817222166,
official,"[27, 6]",galerkin,16,1,0.26482831741647717,0.26482831741647717,0.26482831741647717,0.26482831741647717,
official,"[27, 6]",galerkin,32,1,0.24651721314212938,0.24651721314212938,0.24651721314212938,0.24651721314212938,
official,"[27, 6]",galerkin,64,1,0.23713885315725447,0.23713885315725447,0.23713885315725447,0.23713885315725447,
official,"[27, 6]",galerkin,128,1,0.23241967539680383,0.23241967539680383,0.23241967539680383,0.23241967539680383,
