dataset,n,head,method,seed,m,log_nmse,nmse,log_cross_over_energy,log_prediction_energy_ratio
internal,131072,"[14, 0]",favor_plus,1009,16,-8.124216939241788e-05,0.9999187611306632,-9.935908522534097,-11.07009866354443
internal,131072,"[14, 0]",favor_plus,1009,32,-8.002925165793475e-05,0.9999199739505972,-10.066267084454367,-12.215758951178154
internal,131072,"[14, 0]",favor_plus,1009,64,-7.604647141329327e-05,0.9999239564200463,-10.093334590917582,-11.918643048613768
internal,131072,"[14, 0]",favor_plus,1009,128,-7.067403838179822e-05,0.9999293284589692,-10.2193038474148,-13.005559304450589
internal,131072,"[14, 0]",favor_plus,1046,16,-4.008975992267859e-07,0.9999995991024812,-15.422449065522152,-22.991512020582306
internal,131072,"[14, 0]",favor_plus,1046,32,-5.0211015296230005e-05,0.9999497902452557,-10.520747319992985,-12.498485770967662
internal,131072,"[14, 0]",favor_plus,1046,64,0.0002783573905367,1.0002783961355501,-11.02784164734439,-8.076095985735986
internal,131072,"[14, 0]",favor_plus,1046,128,5.856966198345851e-05,1.0000585713772197,-11.556334824927475,-9.46237523666383
internal,131072,"[14, 0]",favor_plus,1083,16,-8.364611498793257e-07,0.9999991635391999,-14.686431844065993,-21.12269104138461
internal,131072,"[14, 0]",favor_plus,1083,32,-1.0291140626958486e-06,0.9999989708864668,-14.429061472585511,-16.739177776443398
internal,131072,"[14, 0]",favor_plus,1083,64,-4.22419840993921e-06,0.999995775810512,-13.062073982775608,-17.529255196294375
internal,131072,"[14, 0]",favor_plus,1083,128,-6.4560049660298724e-06,0.9999935440158739,-12.626810562301884,-16.026087263037613
internal,131072,"[14, 0]",favor_plus,1120,16,-2.0455400628753974e-05,0.9999795448085815,-9.346443754923955,-8.777939389737785
internal,131072,"[14, 0]",favor_plus,1120,32,-4.906598047698016e-05,0.9999509352232385,-10.036004170300899,-10.16422754807714
internal,131072,"[14, 0]",favor_plus,1120,64,-7.643091645268075e-05,0.9999235720043154,-10.015610435701674,-11.25322285945514
internal,131072,"[14, 0]",favor_plus,1120,128,-7.884564411530932e-05,0.9999211574641208,-10.089538017241557,-12.385047702472985
internal,131072,"[14, 0]",favor_plus,1157,16,-1.692375308445988e-05,0.9999830763901214,-11.672917854902462,-15.940823498486154
internal,131072,"[14, 0]",favor_plus,1157,32,-8.70696221163172e-06,0.9999912930756939,-12.341114281392219,-17.326376416054956
internal,131072,"[14, 0]",favor_plus,1157,64,-5.85158821195385e-06,0.9999941484289085,-12.740411953446092,-18.52686835847917
internal,131072,"[14, 0]",favor_plus,1157,128,-3.13928317527101e-05,0.999968607660997,-11.050191322903494,-14.793993527470489
internal,131072,"[14, 0]",centered_favor_plus,1009,16,4.99279405285097,147.34754570981144,-5.625042710614986,4.9860335273207
internal,131072,"[14, 0]",centered_favor_plus,1009,32,3.6468332505911554,38.35301913736797,-4.119314744991817,3.6212837428533327
internal,131072,"[14, 0]",centered_favor_plus,1009,64,2.997653438733787,20.0384602359997,-2.81114360085113,2.95275862205267
internal,131072,"[14, 0]",centered_favor_plus,1009,128,1.751892961148269,5.765506232043219,-3.246361036516449,1.577604019808378
internal,131072,"[14, 0]",centered_favor_plus,1046,16,0.005512803363232042,1.0055280268254878,-4.885827117460764,-3.8808259849731606
