dataset,factor2,head,head_index,idiv_per_mass,logcosh,m,method,output_nmse,row_l1,seed_count,seed_max,seed_mean,seed_median,seed_min,source
internal,,L14H0,0,,,16,SVD,,,1,0.00030880854252854747,0.00030880854252854747,0.00030880854252854747,0.00030880854252854747,product
internal,,L14H6,1,,,16,SVD,,,1,0.0038513020263825615,0.0038513020263825615,0.0038513020263825615,0.0038513020263825615,product
internal,,L27H0,2,,,16,SVD,,,1,0.006495540906288104,0.006495540906288104,0.006495540906288104,0.006495540906288104,product
internal,,L27H6,3,,,16,SVD,,,1,0.028237610859026128,0.028237610859026128,0.028237610859026128,0.028237610859026128,product
internal,,L14H0,0,,,16,NMF,,,1,0.0003118334694116016,0.0003118334694116016,0.0003118334694116016,0.0003118334694116016,product
internal,,L14H6,1,,,16,NMF,,,1,0.0039937168812417614,0.0039937168812417614,0.0039937168812417614,0.0039937168812417614,product
internal,,L27H0,2,,,16,NMF,,,1,0.0071540546514648915,0.0071540546514648915,0.0071540546514648915,0.0071540546514648915,product
internal,,L27H6,3,,,16,NMF,,,1,0.031491594475141806,0.031491594475141806,0.031491594475141806,0.031491594475141806,product
internal,0.008028411865234375,L14H0,0,11.548431932140918,8.884836028501361,16,aderf_orf,,,10,7.3356987691433595,1.768419555069468,1.002972530153501,0.9987131100616644,product
internal,0.013320732116699218,L14H6,1,8.631982091774017,7.5269437762166165,16,aderf_orf,,,10,4006.9810693225863,429.43381225009296,13.536593389530989,1.0146709201542634,product
internal,0.04022970199584961,L27H0,2,11.169855961760003,5.097352068219875,16,aderf_orf,,,10,12.16489409663439,2.89848120244031,1.0961690018196855,1.0004918886681005,product
internal,0.0067923545837402345,L27H6,3,15.929820918489352,8.756153541274392,16,aderf_orf,,,10,325914.41170707927,32592.507956447003,1.0008169384608374,0.9999884928160225,product
internal,0.010971546173095703,L14H0,0,9.854397811834971,7.527645385117704,16,balanced_orf,,,10,96.43002490344021,10.949187852040753,0.9994361035102846,0.994766230926796,product
internal,0.018277549743652345,L14H6,1,7.814905762186244,6.338044322562409,16,balanced_orf,,,10,9.688557449019353,2.0706993317012623,1.0509056079572239,0.9870137941458617,product
internal,0.08564319610595703,L27H0,2,4.786051812360645,2.810866909227588,16,balanced_orf,,,10,77.52442489979805,19.07712552072648,4.793654094322791,1.2112301487197044,product
internal,0.08807716369628907,L27H6,3,4.380202339459164,2.831510257125406,16,balanced_orf,,,10,1523.367206067782,202.75521553374918,31.313428146181252,1.1497852058501636,product
internal,0.014199256896972656,L14H0,0,10.669485822213197,8.059282038926035,16,balanced_sderf_orf,,,10,13.196400871664725,2.6769509433694636,1.0614629433698042,0.9942703771110858,product
internal,0.017940807342529296,L14H6,1,9.049866861631987,7.1985060623072075,16,balanced_sderf_orf,,,10,1782.1111049895505,215.11120765893943,3.998789092753068,1.1324933704765159,product
internal,0.08730516433715821,L27H0,2,4.929173984767569,2.9736947559264535,16,balanced_sderf_orf,,,10,508.9625521446709,72.73326215893627,11.93288840094627,1.644689389347192,product
internal,0.07814216613769531,L27H6,3,4.735229059757323,3.191384219320842,16,balanced_sderf_orf,,,10,11733.637785617566,1257.6990579108315,52.78100077590089,2.1772921025325997,product
internal,0.013126754760742187,L14H0,0,11.314268947061874,8.057591520772197,16,balanced_sderf_sobol,,,10,1277.6420942633774,131.13133673869754,1.9941018044104786,0.9987450234309591,product
internal,0.020224380493164062,L14H6,1,8.79166715721244,6.755671353786456,16,balanced_sderf_sobol,,,10,401.69599642964937,50.71926117569508,2.1893770630240894,1.0532914354524716,product
internal,0.08032407760620117,L27H0,2,8.306456966382534,2.909059422529426,16,balanced_sderf_sobol,,,10,327767.1520832067,32911.53789124211,92.00772410857158,3.071740301452118,product
internal,0.08529796600341796,L27H6,3,4.294651999701036,2.884351245125827,16,balanced_sderf_sobol,,,10,827.491185152677,129.4882191643689,63.44962627668366,2.7139652421233755,product
internal,0.06439943313598633,L14H0,0,11.700658241412302,4.7087190246422335,16,balanced_sderf_sobol_mass,,,10,372440.2030891386,40304.118184756066,3368.153831223415,31.3435575316443,product
internal,0.05892810821533203,L14H6,1,8.010257199819682,4.697773382745798,16,balanced_sderf_sobol_mass,,,10,17471.140529630437,2055.2644417222677,205.62207604568124,7.471745470839394,product
internal,0.10298166275024415,L27H0,2,12.642338040231781,2.7635521092610906,16,balanced_sderf_sobol_mass,,,10,1595602.7395724223,159741.30623793413,87.60530309955031,2.7831092852236443,product
internal,0.09194202423095703,L27H6,3,4.3780190987798715,2.871437208336282,16,balanced_sderf_sobol_mass,,,10,445.70672464339043,145.3717618154015,72.08461399484017,1.8546617327478299,product
internal,6.923675537109374e-05,L14H0,0,19.50614222018094,21.522884421385346,16,favor_orf,,,10,0.9999996088529156,0.9999328603383535,0.9999931695725583,0.9997277148876593,product
internal,0.0009104728698730469,L14H6,1,16.904020851738906,17.439311171695373,16,favor_orf,,,10,1.1984089567070586,1.0333816723363847,0.9995720188187249,0.9962260011296304,product
internal,0.0005594253540039063,L27H0,2,19.221568913354684,14.579156288196026,16,favor_orf,,,10,1.0003328230345736,1.0000329496512896,0.9999999610600686,0.9999842005836735,product
internal,0.00032901763916015625,L27H6,3,18.681104280455408,14.686664940483297,16,favor_orf,,,10,1.0003358485623652,1.0000296883901785,0.9999992913232914,0.9999801674943419,product
internal,0.04118919372558594,L14H0,0,6.709089382107358,5.527796106484039,16,learned_shared,,,3,13745.326455430955,5167.624266736671,1422.7663053364297,334.78003944262844,product
internal,0.046889940897623696,L14H6,1,7.48477127911213,5.010645551010854,16,learned_shared,,,3,40036.46679518303,23213.85598924107,24525.181897996146,5079.919274544043,product
internal,0.12514559427897134,L27H0,2,2.7992285605061547,2.2839314694257844,16,learned_shared,,,3,42.11267205717146,18.115257128892065,9.395582434061488,2.8375168954432515,product
internal,0.10641225179036458,L27H6,3,2.993507447030544,2.5815919737889175,16,learned_shared,,,3,198.24122842900553,83.65095931275494,28.931602852552217,23.780046656707043,product
internal,0.04459857940673828,L14H0,0,7.3522809100856605,5.411495423927707,16,learned_untied,,,3,10131.116539411527,4527.42871643126,2045.5439753374062,1405.6256345448462,product
internal,0.050065040588378906,L14H6,1,9.887285643653348,4.905601252377674,16,learned_untied,,,3,240234.7110858037,95011.19060292664,24366.44782877619,20432.412894200017,product
internal,0.11762428283691406,L27H0,2,2.7885665896738367,2.2738539485609532,16,learned_untied,,,3,40.57214893879926,17.928553215126183,9.71226887973334,3.5012418268459475,product
internal,0.10240364074707031,L27H6,3,3.036571647125857,2.531854379108767,16,learned_untied,,,3,336.2862265258796,124.54411278127118,19.699583102706605,17.646528715227372,product
internal,0.0017917633056640625,L14H0,0,14.441733588413456,18.041209069452773,16,sderf_orf,,,10,135.6279277350675,18.94457505410924,1.0012191778345159,0.9971855775912559,product
internal,0.0012823104858398437,L14H6,1,18.120477553880782,18.57632743881437,16,sderf_orf,,,10,26.3419657265893,5.376366645642076,1.0599875297430543,0.9993859776391,product
internal,0.016783905029296876,L27H0,2,10.737267980545502,7.996639934331138,16,sderf_orf,,,10,117.88270854329863,23.155429345745443,1.3093478884515468,1.010724990750967,product
internal,0.020198631286621093,L27H6,3,9.532738320869777,7.819291513260817,16,sderf_orf,,,10,1755.2304206031524,274.2538563075528,60.32286583887815,2.6543523242745697,product
internal,,L14H0,0,,,32,SVD,,,1,7.743376391120902e-05,7.743376391120902e-05,7.743376391120902e-05,7.743376391120902e-05,product
internal,,L14H6,1,,,32,SVD,,,1,0.0013653310932836985,0.0013653310932836985,0.0013653310932836985,0.0013653310932836985,product
internal,,L27H0,2,,,32,SVD,,,1,0.002207177449237345,0.002207177449237345,0.002207177449237345,0.002207177449237345,product
internal,,L27H6,3,,,32,SVD,,,1,0.009385797026466592,0.009385797026466592,0.009385797026466592,0.009385797026466592,product
internal,,L14H0,0,,,32,NMF,,,1,8.008208032489367e-05,8.008208032489367e-05,8.008208032489367e-05,8.008208032489367e-05,product
internal,,L14H6,1,,,32,NMF,,,1,0.0014561699599676924,0.0014561699599676924,0.0014561699599676924,0.0014561699599676924,product
internal,,L27H0,2,,,32,NMF,,,1,0.002750485987902428,0.002750485987902428,0.002750485987902428,0.002750485987902428,product
internal,,L27H6,3,,,32,NMF,,,1,0.011908604835961992,0.011908604835961992,0.011908604835961992,0.011908604835961992,product
internal,0.01097698211669922,L14H0,0,9.240703652553105,7.516453193827774,32,aderf_orf,,,10,153.12048717238946,18.75602350867775,1.8098893596322583,0.9956112431743397,product
