dataset,samples_per_marginal,pairs_per_head,head,m,signed_floor_lower,signed_floor_upper,compression_residual_fraction,positive_nmse,partition_projection_nmse,mean_estimation_gap,positive_idiv_per_mass,train_galerkin_signed_nmse,train_anchor_nystrom_signed_nmse,log_raw_second_moment
moment_train,16384,268435456,L14H0,16,0.001557207195470547,0.17150179121387385,0.16994458401840332,,0.29488199462315967,,,0.17663261162047883,0.21766784132226374,0.31631001018129723
moment_train,16384,268435456,L14H0,32,0.00029812279707778236,0.17024270681548095,0.16994458401840318,,0.21547354601783514,,,0.17580117819554358,0.9809404830436436,0.31631001018129723
moment_train,16384,268435456,L14H0,64,6.73323971399784e-05,0.1700119164155432,0.1699445840184032,,0.19829632836256939,,,0.17562702787915638,0.9871653251348582,0.31631001018129723
moment_train,16384,268435456,L14H0,128,7.071893775300867e-06,0.16995165591217853,0.16994458401840323,,0.19267093935852897,,,0.17558647890728718,6.426930750984767,0.31631001018129723
moment_train,16384,268435456,L14H6,16,0.008755984225605177,0.2293578970813467,0.22060191285574154,,0.2766335745978103,,,0.24552083490590332,0.2831967656245255,-2.062909905793303
moment_train,16384,268435456,L14H6,32,0.004382346435165885,0.22498425929090748,0.2206019128557416,,0.27439389338789344,,,0.24076288403167062,0.29107703026057646,-2.062909905793303
moment_train,16384,268435456,L14H6,64,0.001468472143422227,0.22207038499916387,0.22060191285574166,,0.2729616554914366,,,0.23793864835611284,0.29500297239614764,-2.062909905793303
moment_train,16384,268435456,L14H6,128,0.0002078336517868315,0.2208097465075285,0.22060191285574166,,0.27167991115769863,,,0.23662242431899075,0.3605424006313188,-2.062909905793303
moment_train,16384,268435456,L27H0,16,0.059417310896572754,0.330398143226239,0.27098083232966624,,0.677821411253694,,,0.37555258350433535,0.5633905587285948,12.018117707613104
moment_train,16384,268435456,L27H0,32,0.025946501720434008,0.29692733405010024,0.27098083232966624,,0.6645376908694309,,,0.3346620128869827,0.8089690792595168,12.018117707613104
moment_train,16384,268435456,L27H0,64,0.008187470487962752,0.27916830281762894,0.2709808323296662,,0.6524453303611607,,,0.31287705030086627,0.7986649254445257,12.018117707613104
moment_train,16384,268435456,L27H0,128,0.0012337867639019976,0.2722146190935681,0.2709808323296661,,0.6431865327239872,,,0.3041925048726758,0.8692654854223166,12.018117707613104
moment_train,16384,268435456,L27H6,16,0.03256736894898946,0.21456541370894336,0.1819980447599539,,0.5954791717672917,,,0.24795372634857746,0.3925314910308192,17.328562030817004
moment_train,16384,268435456,L27H6,32,0.01286834150687314,0.19486638626682698,0.18199804475995385,,0.5832008968261677,,,0.22152511588661494,0.36800807862060075,17.328562030817004
moment_train,16384,268435456,L27H6,64,0.003642282914139113,0.18564032767409308,0.18199804475995396,,0.5729845963155389,,,0.2087070639194184,0.3597863073935718,17.328562030817004
