source,m,method,layer,head,relative_error,log_absolute_mse
product,16,SVD,0,0,2.2658973463425327e-30,4123.177091996027
product,16,SVD,0,3,1.1867279065477508e-30,48447.14172861218
product,16,SVD,0,6,6.608119746396212e-130,7524.040883458675
product,16,SVD,0,9,2.266102936248831e-20,198.39967331583532
product,16,SVD,7,0,0.00026758899188093294,-8.28433797561903
product,16,SVD,7,3,4.378415995033246e-05,-11.678770954355873
product,16,SVD,7,6,1.9045606791023882e-05,32.97554501787798
product,16,SVD,7,9,0.0002056830940016989,15.525633470417054
product,16,SVD,14,0,0.0004481198606117732,-7.424533045978526
product,16,SVD,14,3,2.879234173267944e-05,3.37979385709969
product,16,SVD,14,6,0.005573597627363902,-7.278379972809816
product,16,SVD,14,9,7.459419929173707e-05,-11.04191818303355
product,16,SVD,27,0,0.0328529837535169,7.703544327982149
product,16,SVD,27,3,0.040015781769442434,8.418017733918107
product,16,SVD,27,6,0.015254530618920757,12.417398962604727
product,16,SVD,27,9,0.04532014752684068,8.882281969579429
product,16,NMF,0,0,1.9212069450661584e-07,4175.971531880778
product,16,NMF,0,3,7.383939245740044e-13,48488.113782600914
product,16,NMF,0,6,2.792199944647475e-131,7520.876829003947
product,16,NMF,0,9,2.1753304237726928e-06,230.5949836017443
product,16,NMF,7,0,0.0002932389136406816,-8.192802484886027
product,16,NMF,7,3,4.593258297226185e-05,-11.630868327453747
product,16,NMF,7,6,2.853582848608262e-05,33.3798689951438
product,16,NMF,7,9,0.00025253815567241665,15.730859213652531
product,16,NMF,14,0,0.00044989065770128725,-7.42058921826467
product,16,NMF,14,3,2.9284026771867102e-05,3.396726623377221
product,16,NMF,14,6,0.005641215237030384,-7.266321201992901
product,16,NMF,14,9,8.168711782577116e-05,-10.951084616854024
product,16,NMF,27,0,0.03689076929695165,7.8194631227395295
product,16,NMF,27,3,0.0435390629008387,8.502402346236556
product,16,NMF,27,6,0.016996892578020634,12.525552951728413
product,16,NMF,27,9,0.050471314414023444,8.989935421683837
product,16,FAVOR_plus,0,0,1.0,4191.436673925971
product,16,FAVOR_plus,0,3,1.0,48516.048081540495
