dataset,method,seeds,ppl_mean,ppl_seed_range,nll_mean
internal,teacher,1,8.613259334202136,"[8.613259334202136, 8.613259334202136]",2.1533027989789844
internal,value,3,8.666672698122206,"[8.666308266443805, 8.666986021571455]",2.1594849447719753
official,allocate_spectrum_raw,1,8.989748199218884,"[8.989748199218884, 8.989748199218884]",2.1960848391056063
official,allocate_spectrum_row_mass,1,8.992438740034917,"[8.992438740034917, 8.992438740034917]",2.196384084224701
official,allocate_spectrum_sqrt_mass,1,8.989748199218884,"[8.989748199218884, 8.989748199218884]",2.1960848391056063
official,allocate_uniform,1,8.989748199218884,"[8.989748199218884, 8.989748199218884]",2.1960848391056063
official,allocate_validation,1,8.989666163905664,"[8.989666163905664, 8.989666163905664]",2.196075713634491
official,balanced,3,8.99760248369646,"[8.993422176708528, 9.001909273082102]",2.1969580769538877
official,exp_control,3,8.977942376040803,"[8.97699735217701, 8.979036310224831]",2.1947707176208495
official,factorized,3,8.982748336942803,"[8.978200271785314, 8.987424494470346]",2.195305798451106
official,factorized_both,3,8.98194449567835,"[8.980457786360146, 8.983122522879405]",2.1952163875102997
official,favor_plus,1,9.08363796323304,"[9.08363796323304, 9.08363796323304]",2.206474769115448
official,half,3,8.988003884470665,"[8.984409749280827, 8.989853704912285]",2.1958907465140025
official,kl_control,3,8.979391766728764,"[8.974630190343834, 8.982079982738075]",2.1949320773283643
official,old_mlp,1,9.00687871990666,"[9.00687871990666, 9.00687871990666]",2.197988587617874
official,raw,3,8.998101472087443,"[8.995158180486863, 9.00243731293896]",2.1970135470231376
official,teacher,1,8.91560761547161,"[8.91560761547161, 8.91560761547161]",2.1878034055233
official,value,3,9.007822722624262,"[9.006441464724169, 9.009341166212627]",2.1980933825174964
swde,allocate_spectrum_raw,1,17.76290548932994,"[17.76290548932994, 17.76290548932994]",2.8771123215556145
swde,allocate_spectrum_row_mass,1,17.759719373723584,"[17.759719373723584, 17.759719373723584]",2.876932936410109
swde,allocate_spectrum_sqrt_mass,1,17.76290548932994,"[17.76290548932994, 17.76290548932994]",2.8771123215556145
swde,allocate_uniform,1,17.76290548932994,"[17.76290548932994, 17.76290548932994]",2.8771123215556145
swde,allocate_validation,1,17.757909678169316,"[17.757909678169316, 17.757909678169316]",2.876831032335758
swde,balanced,3,17.755990070931137,"[17.753051862934942, 17.75918317617763]",2.876722917788559
swde,exp_control,3,17.75409722986843,"[17.753043265351682, 17.75589881782794]",2.876616316537062
swde,factorized,3,17.764477562401506,"[17.7637620842006, 17.764889789017445]",2.877200820379787
swde,factorized_both,3,17.759295380074295,"[17.753030655570424, 17.762969543921578]",2.8769090308083425
swde,favor_plus,1,18.191664057470252,"[18.191664057470252, 18.191664057470252]",2.900963470339775
swde,half,3,17.761876346233006,"[17.75894121555475, 17.76378233381433]",2.877054375078943
swde,kl_control,3,17.753125181136355,"[17.75030080471236, 17.755460849325253]",2.8765615597367287
swde,old_mlp,1,17.77026922145957,"[17.77026922145957, 17.77026922145957]",2.8775267923871675
swde,raw,3,17.77397068424896,"[17.772658209861447, 17.77625955645878]",2.8777350617779622
swde,teacher,1,17.613299602914406,"[17.613299602914406, 17.613299602914406]",2.8686542759339013
swde,value,3,17.765355329474332,"[17.761258192231438, 17.76989025593596]",2.8772502111064058
swde3,balanced,3,12.996211903886243,"[12.992232177343865, 12.998838769237185]",2.5646578987439472
swde3,exp_control,3,13.000087763037309,"[12.98622579126261, 13.008342498591238]",2.5649558206399283
swde3,factorized_both,3,12.996942238922742,"[12.990304458083553, 13.003091441180176]",2.5647140363852183
swde3,favor_plus,1,13.182933657198193,"[13.182933657198193, 13.182933657198193]",2.5789230883121492
swde3,gauge_calibrated,3,13.000087763037309,"[12.98622579126261, 13.008342498591238]",2.5649558206399283
swde3,kl_control,3,12.995366698010685,"[12.990369033403116, 12.99907252583415]",2.5645928462346395
swde3,old_mlp,1,13.008423523716305,"[13.008423523716305, 13.008423523716305]",2.5655971109867095
swde3,raw,3,13.01060528453518,"[13.007280069413923, 13.015956101537924]",2.565764772891998
swde3,teacher,1,12.934820591001786,"[12.934820591001786, 12.934820591001786]",2.5599229454994203
