dataset,method,seed,relative_squared_risk,relative_I_divergence,query_balanced_divergence,directional_kl,mass_divergence
fresh_wiki3,raw,11,0.7121851206631385,0.8103759117078457,0.6110190200684477,0.4470089095440838,0.16401011052436396
fresh_wiki3,factorized_both,11,0.572820935833,0.3956824715449551,0.26105318272770095,0.23081193469764671,0.030241248030054204
fresh_wiki3,exp_control,11,259372044647.40308,14318.349864600921,13924.21219792875,0.20693057685402017,13924.005267351897
fresh_wiki3,favor_plus,1009,1.088077037619239,15.259117787352727,12.610086413703215,2.3765293997249515,10.233557013978263
fresh_wiki3,gauge_calibrated,11,0.5970192818606789,0.3604747426235556,0.2333109613149675,0.20693057685402017,0.02638038446094737
fresh_wiki3,global_bal,11,19.805965599352188,2.3559062442899568,2.0166929331544283,0.20693057685402017,1.8097623563004082
fresh_wiki3,global_raw,11,8.65790618138734,2.3408832209148787,2.5618836116509014,0.20693057685402017,2.3549530347968815
swde3,raw,11,0.6311677686192253,0.85997201720251,0.6151752638288874,0.46993091723710767,0.14524434659177962
swde3,factorized_both,11,0.4811839334302843,0.5902695246137966,0.37060030260890386,0.30824913107986057,0.062351171529043334
swde3,exp_control,11,12463916769.50737,5812.9458436450095,8365.405019234167,0.2944962360331713,8365.110522998135
swde3,favor_plus,1009,0.9994951733999765,14.273932537896407,12.064969287065953,2.0569088273914122,10.00806045967454
swde3,gauge_calibrated,11,0.4871636656308864,0.6187692634317504,0.3782746353337153,0.2944962360331713,0.08377839930054409
swde3,global_bal,11,1.6143182854078215,2.7323517168400864,2.2368665515038844,0.2944962360331713,1.942370315470713
swde3,global_raw,11,2.1456106124988885,2.8432474969849344,2.621460594218003,0.2944962360331713,2.326964358184832
