folder,objective,method,m,steps,split,metric,layer,head,seeds,documents,mean,seed_std,parameters,training_seconds,feature_pair_ms
fits,raw,kan_signed,64,2000,validation,top1_agreement,27,6,3,12,0.01654730902777778,0.005229483153689632,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,kernel_nmse,14,0,3,20,0.9223894506692888,0.0018718728901170644,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,kernel_nmse,14,6,3,20,0.8160171163578829,0.0026695762492583404,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,kernel_nmse,27,0,3,20,0.8996725340684254,0.0027821214122851524,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,kernel_nmse,27,6,3,20,0.8952266871929169,0.018683832313534224,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,attention_nmse,14,0,3,20,14203.856531854472,17015.25882624892,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,attention_nmse,14,6,3,20,6732.242572126786,9700.119657909103,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,attention_nmse,27,0,3,20,1294.2639069398244,1306.3904658446204,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,attention_nmse,27,6,3,20,280.08698352376615,145.90223230272568,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,output_nmse,14,0,3,20,43013.85160201789,59024.56479669048,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,output_nmse,14,6,3,20,12727.346285096804,17980.289229615715,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,output_nmse,27,0,3,20,2156.0641593615214,3019.5909188177257,73888,23.08495984536906,2.089847479926215
fits,raw,kan_signed,64,2000,test,output_nmse,27,6,3,20,258.66312661965685,98.92814402186525,73888,23.08495984536906,2.089847479926215
